url, extraction, lexical, syntactic
https://www.imdb.com/name/nm0597388/bio?ref_=nm_ov_bio_sm,"Honolulu, Hawaii",0,0
https://www.imdb.com/name/nm0709649/bio?ref_=nm_ov_bio_sm,"Clinton, Oklahoma, USA",1,1
https://www.imdb.com/name/nm0129464/bio?ref_=nm_ov_bio_sm,"Portsmouth, England",1,1
https://www.imdb.com/name/nm2720561/bio?ref_=nm_ov_bio_sm,"New York City",0,0
https://www.imdb.com/name/nm5453354/bio?ref_=nm_ov_bio_sm,"Dallas, Texas",0,0
https://www.imdb.com/name/nm1072713/bio?ref_=nm_ov_bio_sm,"Los Angeles",1,1
https://www.imdb.com/name/nm1194439/bio?ref_=nm_ov_bio_sm,"Edinburg, Texas",1,1
https://www.imdb.com/name/nm0683244/bio?ref_=nm_ov_bio_sm,"Paris, France",1,1
https://www.imdb.com/name/nm0566850/bio?ref_=nm_ov_bio_sm,"Greensboro, North Carolina",0,0
